Time,Open,High,Low,Close,Volume
2021-08-05 13:00,1.39049,1.39259,1.38990,1.39109,4833
2021-08-05 14:00,1.39109,1.39488,1.39058,1.39325,5504
2021-08-05 15:00,1.39325,1.39361,1.39229,1.39280,2934
2021-08-05 16:00,1.39279,1.39325,1.39236,1.39312,1789
2021-08-05 17:00,1.39311,1.39379,1.39287,1.39352,1128
2021-08-05 18:00,1.39352,1.39361,1.39280,1.39321,1220
2021-08-05 19:00,1.39319,1.39336,1.39257,1.39311,1721
2021-08-05 20:00,1.39306,1.39306,1.39255,1.39285,1109
2021-08-05 21:00,1.39269,1.39327,1.39262,1.39294,1030
2021-08-05 22:00,1.39294,1.39316,1.39278,1.39290,486
2021-08-05 23:00,1.39287,1.39301,1.39264,1.39270,564
2021-08-06 00:00,1.39270,1.39290,1.39165,1.39183,1308
2021-08-06 01:00,1.39189,1.39214,1.39147,1.39182,1240
2021-08-06 02:00,1.39184,1.39194,1.39150,1.39190,1171
2021-08-06 03:00,1.39191,1.39233,1.39171,1.39210,510
2021-08-06 04:00,1.39208,1.39215,1.39169,1.39206,670
2021-08-06 05:00,1.39202,1.39223,1.39151,1.39206,687
2021-08-06 06:00,1.39205,1.39284,1.39176,1.39282,1549
2021-08-06 07:00,1.39281,1.39327,1.39097,1.39206,3100
2021-08-06 08:00,1.39206,1.39275,1.39123,1.39176,2660
2021-08-06 09:00,1.39176,1.39299,1.39069,1.39111,2504
2021-08-06 10:00,1.39111,1.39173,1.39075,1.39080,2068
2021-08-06 11:00,1.39080,1.39209,1.39047,1.39169,1875
2021-08-06 12:00,1.39170,1.39281,1.38941,1.39020,11303
2021-08-06 13:00,1.39018,1.39072,1.38832,1.38868,5269
2021-08-06 14:00,1.38869,1.38876,1.38629,1.38675,3653
2021-08-06 15:00,1.38672,1.38731,1.38608,1.38708,3060
2021-08-06 16:00,1.38708,1.38720,1.38646,1.38655,1313
2021-08-06 17:00,1.38655,1.38750,1.38647,1.38743,968
2021-08-06 18:00,1.38744,1.38775,1.38730,1.38732,860
2021-08-06 19:00,1.38732,1.38812,1.38728,1.38771,1458
2021-08-06 20:00,1.38770,1.38804,1.38693,1.38693,2391
2021-08-08 21:00,1.38702,1.38841,1.38680,1.38733,850
2021-08-08 22:00,1.38734,1.38784,1.38609,1.38676,5946
2021-08-08 23:00,1.38675,1.38696,1.38578,1.38663,2219
2021-08-09 00:00,1.38662,1.38684,1.38546,1.38602,1834
2021-08-09 01:00,1.38602,1.38681,1.38561,1.38572,1669
2021-08-09 02:00,1.38576,1.38676,1.38571,1.38656,886
2021-08-09 03:00,1.38659,1.38692,1.38646,1.38686,547
2021-08-09 04:00,1.38685,1.38703,1.38668,1.38700,313
2021-08-09 05:00,1.38699,1.38731,1.38667,1.38667,524
2021-08-09 06:00,1.38673,1.38894,1.38646,1.38799,2152
2021-08-09 07:00,1.38799,1.38902,1.38645,1.38652,3151
2021-08-09 08:00,1.38646,1.38652,1.38502,1.38571,3741
2021-08-09 09:00,1.38571,1.38942,1.38555,1.38914,3156
2021-08-09 10:00,1.38911,1.38923,1.38787,1.38790,2837
2021-08-09 11:00,1.38790,1.38885,1.38691,1.38749,3266
2021-08-09 12:00,1.38746,1.38852,1.38725,1.38831,3301
2021-08-09 13:00,1.38832,1.38892,1.38661,1.38681,5551
2021-08-09 14:00,1.38683,1.38701,1.38455,1.38475,4942
2021-08-09 15:00,1.38475,1.38608,1.38471,1.38507,2649
2021-08-09 16:00,1.38506,1.38520,1.38406,1.38473,1884
2021-08-09 17:00,1.38477,1.38515,1.38455,1.38504,973
2021-08-09 18:00,1.38503,1.38582,1.38502,1.38527,1030
2021-08-09 19:00,1.38526,1.38547,1.38457,1.38461,1295
2021-08-09 20:00,1.38461,1.38495,1.38437,1.38448,1335
2021-08-09 21:00,1.38448,1.38490,1.38447,1.38483,643
2021-08-09 22:00,1.38483,1.38487,1.38461,1.38466,509
2021-08-09 23:00,1.38466,1.38476,1.38440,1.38465,442
2021-08-10 00:00,1.38465,1.38509,1.38422,1.38505,946
2021-08-10 01:00,1.38507,1.38511,1.38362,1.38390,1128
2021-08-10 02:00,1.38389,1.38431,1.38357,1.38422,917
2021-08-10 03:00,1.38419,1.38482,1.38413,1.38469,744
2021-08-10 04:00,1.38471,1.38488,1.38427,1.38442,598
2021-08-10 05:00,1.38443,1.38494,1.38438,1.38463,598
2021-08-10 06:00,1.38466,1.38530,1.38398,1.38503,2061
2021-08-10 07:00,1.38500,1.38606,1.38401,1.38521,3968
2021-08-10 08:00,1.38521,1.38721,1.38519,1.38641,3168
2021-08-10 09:00,1.38641,1.38655,1.38512,1.38603,2971
2021-08-10 10:00,1.38601,1.38621,1.38528,1.38600,1901
2021-08-10 11:00,1.38605,1.38647,1.38561,1.38610,1999
2021-08-10 12:00,1.38609,1.38642,1.38512,1.38519,2260
2021-08-10 13:00,1.38519,1.38564,1.38380,1.38435,3432
2021-08-10 14:00,1.38436,1.38681,1.38324,1.38478,4860
2021-08-10 15:00,1.38474,1.38487,1.38369,1.38377,3811
2021-08-10 16:00,1.38378,1.38410,1.38272,1.38322,2512
2021-08-10 17:00,1.38322,1.38381,1.38308,1.38379,1311
2021-08-10 18:00,1.38379,1.38431,1.38347,1.38396,884
2021-08-10 19:00,1.38396,1.38412,1.38340,1.38348,907
2021-08-10 20:00,1.38348,1.38398,1.38347,1.38362,1357
2021-08-10 21:00,1.38351,1.38406,1.38349,1.38386,323
2021-08-10 22:00,1.38386,1.38412,1.38354,1.38370,965
2021-08-10 23:00,1.38371,1.38381,1.38349,1.38350,565
2021-08-11 00:00,1.38350,1.38361,1.38192,1.38232,940
2021-08-11 01:00,1.38232,1.38290,1.38198,1.38282,1488
2021-08-11 02:00,1.38281,1.38325,1.38262,1.38321,867
2021-08-11 03:00,1.38322,1.38331,1.38262,1.38281,749
2021-08-11 04:00,1.38281,1.38313,1.38270,1.38283,292
2021-08-11 05:00,1.38288,1.38329,1.38267,1.38271,502
2021-08-11 06:00,1.38270,1.38295,1.38210,1.38253,2244
2021-08-11 07:00,1.38252,1.38265,1.38124,1.38163,3295
2021-08-11 08:00,1.38162,1.38237,1.38071,1.38089,2697
2021-08-11 09:00,1.38087,1.38153,1.38076,1.38144,1996
